bin	bins_n	phylum
'LIB-MJ413-B11_01.19'	8	Bacillota_A
'LIB-MJ413-B10_01.22'	1	Bacillota
'LIB-MJ339-A7_03.68'	1	Thermoproteota
'LIB-MJ250-B2_04.4'	3	Actinomycetota
'LIB-MJ048-B1_04.19'	1	Actinomycetota
'LIB-MJ140-H7_02.3'	1	Actinomycetota
'LIB-MJ260-E4_01.6'	1	Actinomycetota
'LIB-MJ201-D10_03.43'	9	Actinomycetota
'LIB-MJ140-G8_02.13'	1	Actinomycetota
'LIB-MJ390-D5_03.42'	1	Actinomycetota
'LIB-MJ199-E10_04.6'	1	Actinomycetota
'LIB-MJ105-E8_01_v_LIB-MJ367-E8_04.13'	2	Dormibacterota
'LIB-MJ390-D5_03.49'	1	Dormibacterota
'LIB-MJ334-A10_01.19'	1	Patescibacteria
'LIB-MJ390-D5_03.29'	1	Dormibacterota
'LIB-MJ414-E2_03.11'	1	Dormibacterota
'LIB-MJ414-E2_03.6'	1	Dormibacterota
'LIB-MJ256-E7_03.8'	2	Dormibacterota
'LIB-MJ199-H7_04.19'	1	Dormibacterota
'LIB-MJ262-D3_03.9'	1	Dormibacterota
'LIB-MJ337-D9_03.34'	1	Dormibacterota
'LIB-MJ228-D9_01.13'	1	Dormibacterota
'LIB-MJ385-A8_04.11'	2	Hydrogenedentota
'LIB-MJ334-H9_01.38'	4	Desulfobacterota
'LIB-MJ334-A10_01.6'	1	Patescibacteria
'LIB-MJ301-D2_01.7'	1	Desulfobacterota
'LIB-MJ091-E11_03.21'	1	Dormibacterota
'LIB-MJ177-G1_03.6'	1	Dormibacterota
'LIB-MJ088-B5_04.3'	15	Dormibacterota
'LIB-MJ254-F11_02.22'	3	Dormibacterota
'LIB-MJ106-F9_01_v_LIB-MJ368-F9_04.25'	1	Dormibacterota
'LIB-MJ092-B4_01.3'	2	Dormibacterota
'LIB-MJ198-G7_03.28'	1	Dormibacterota
'LIB-MJ354-A1_04_v_LIB-MJ367-A1_04.19'	1	Dormibacterota
'LIB-MJ177-D8_03.17'	14	Dormibacterota
'LIB-MJ334-H9_01.4'	2	Patescibacteria
'LIB-MJ336-D10_02.15'	2	Dormibacterota
'LIB-MJ341-D9_02_v_LIB-MJ406-B4_04.14'	1	Dormibacterota
'LIB-MJ339-E2_03.7'	1	Dormibacterota
'LIB-MJ106-F9_01_v_LIB-MJ368-F9_04.11'	1	Dormibacterota
'LIB-MJ338-C2_04.10'	2	Dormibacterota
'LIB-MJ252-F4_02.22'	6	Dormibacterota
'LIB-MJ191-F7_04.3'	1	Dormibacterota
'LIB-MJ251-H4_04.37'	3	Dormibacterota
'LIB-MJ251-B1_04_v_LIB-MJ409-G7_01.15'	1	Dormibacterota
'LIB-MJ337-G7_03.15'	1	Dormibacterota
'LIB-MJ334-H9_01.47'	2	Patescibacteria
'LIB-MJ088-B5_04.16'	2	Dormibacterota
'LIB-MJ253-B4_01_v_LIB-MJ404-E6_03.28'	1	Dormibacterota
'LIB-MJ253-B4_01_v_LIB-MJ404-E6_03.12'	5	Dormibacterota
'LIB-MJ251-B1_04_v_LIB-MJ409-G7_01.9'	2	Dormibacterota
'LIB-MJ250-F4_04.21'	4	Dormibacterota
'LIB-MJ091-H5_03.43'	1	Dormibacterota
'LIB-MJ091-D9_03.14'	1	Dormibacterota
'LIB-MJ194-C2_04.23'	1	Dormibacterota
'LIB-MJ338-F7_04.4'	1	Dormibacterota
'LIB-MJ230-C7_03.15'	2	Dormibacterota
'LIB-MJ256-E7_03.2'	1	Dormibacterota
'LIB-MJ227-F7_02.30'	1	Dormibacterota
'LIB-MJ227-E5_02.5'	2	Dormibacterota
'LIB-MJ383-H10_01.7'	2	Thermoproteota
'LIB-MJ132-A9_03.5'	2	Thermoproteota
'LIB-MJ382-E7_02.23'	5	Thermoproteota
'LIB-MJ259-G6_04.39'	1	Dormibacterota
'LIB-MJ256-B4_03.46'	1	Dormibacterota
'LIB-MJ306-A11_01.2'	1	Dormibacterota
'LIB-MJ305-A8_04.7'	2	Chloroflexota
'LIB-MJ191-H6_04.22'	3	Actinomycetota
'LIB-MJ131-G2_01.12'	1	Actinomycetota
'LIB-MJ334-A12_01.13'	1	Pseudomonadota
'LIB-MJ334-F9_01.23'	1	Pseudomonadota
'LIB-MJ301-F5_01.12'	4	Pseudomonadota
'LIB-MJ334-F9_01.30'	2	Pseudomonadota
'LIB-MJ413-G5_01.24'	3	Actinomycetota
'LIB-MJ413-H5_01.24'	1	Actinomycetota
'LIB-MJ089-G9_02.17'	3	Thermoproteota
'LIB-MJ354-G10_04.2'	2	Pseudomonadota
'LIB-MJ259-D8_04.10'	1	Pseudomonadota
'LIB-MJ388-A6_02.15'	1	Pseudomonadota
'LIB-MJ413-A5_01.16'	10	Pseudomonadota
'LIB-MJ389-D7_03.14'	1	Cyanobacteriota
'LIB-MJ336-C2_02.6'	2	Gemmatimonadota
'LIB-MJ175-D3_02.12'	1	Gemmatimonadota
'LIB-MJ227-D1_02.2'	1	Gemmatimonadota
'LIB-MJ390-G4_03.22'	1	Gemmatimonadota
'LIB-MJ390-D5_03.1'	2	Gemmatimonadota
'LIB-MJ390-D5_03.6'	1	Gemmatimonadota
'LIB-MJ353-C12_03.14'	1	Gemmatimonadota
'LIB-MJ352-E7_03_v_LIB-MJ368-E7_01.248'	3	Thermoproteota
'LIB-MJ193-H10_01_v_LIB-MJ402-F8_04.20'	3	Gemmatimonadota
'LIB-MJ354-C7_04.2'	2	Gemmatimonadota
'LIB-MJ132-E5_03.6'	1	Gemmatimonadota
'LIB-MJ192-A3_04.12'	1	Gemmatimonadota
'LIB-MJ390-F1_03.17'	2	Acidobacteriota
'LIB-MJ280-C2_02.5'	1	Acidobacteriota
'LIB-MJ339-D7_03.41'	2	Actinomycetota
'LIB-MJ145-G6_01.7'	1	Gemmatimonadota
'LIB-MJ390-D9_03.26'	6	Planctomycetota
'LIB-MJ344-F2_04.21'	1	Desulfobacterota
'LIB-MJ110-G1_04_v_LIB-MJ415-E1_04.15'	1	Thermoproteota
'LIB-MJ352-E7_03_v_LIB-MJ368-E7_01.288'	1	Desulfobacterota
'LIB-MJ138-C8_03.7'	2	Acidobacteriota
'LIB-MJ282-E4_03.1'	2	Acidobacteriota
'LIB-MJ174-A11_01.1'	5	Acidobacteriota
'LIB-MJ344-F2_04.14'	1	Acidobacteriota
'LIB-MJ354-G4_04_v_LIB-MJ403-E2_03.10'	1	Planctomycetota
'LIB-MJ354-G4_04_v_LIB-MJ403-E2_03.11'	1	Planctomycetota
'LIB-MJ389-D7_03.20'	1	Planctomycetota
'LIB-MJ389-D7_03.29'	1	Planctomycetota
'LIB-MJ201-E6_03.29'	1	Myxococcota
'LIB-MJ091-E11_03.4'	1	Actinomycetota
'LIB-MJ335-H9_02.8'	1	Thermoproteota
'LIB-MJ256-B4_03.42'	1	Actinomycetota
'LIB-MJ383-H8_01.88'	2	Actinomycetota
'LIB-MJ198-D1_03.25'	4	Actinomycetota
'LIB-MJ132-C9_03.23'	3	Actinomycetota
'LIB-MJ383-H8_01.10'	2	Actinomycetota
'LIB-MJ386-D4_04.21'	2	Actinomycetota
'LIB-MJ388-H6_02.18'	1	Actinomycetota
'LIB-MJ388-H6_02.25'	1	Actinomycetota
'LIB-MJ413-G5_01.25'	1	Actinomycetota
'LIB-MJ088-E7_04.24'	1	Actinomycetota
'LIB-MJ335-A7_02.17'	2	Patescibacteria
'LIB-MJ388-A12_02.17'	1	Bacteroidota
'LIB-MJ283-B2_04.39'	1	Actinomycetota
'LIB-MJ284-D4_03.15'	1	Actinomycetota
'LIB-MJ390-D5_03.55'	1	Nanoarchaeota
'LIB-MJ389-G6_03.18'	2	Chloroflexota
'LIB-MJ389-G10_03.23'	1	Chloroflexota
'LIB-MJ353-C12_03.3'	1	Chloroflexota
'LIB-MJ306-D7_01.2'	2	Actinomycetota
'LIB-MJ306-D7_01.6'	4	Actinomycetota
'LIB-MJ388-H11_02.13'	1	Actinomycetota
'LIB-MJ306-D7_01.1'	2	Actinomycetota
'LIB-MJ413-H5_01.36'	1	Bacteroidota
'LIB-MJ390-C6_03.66'	10	Actinomycetota
'LIB-MJ088-E7_04.20'	1	Actinomycetota
'LIB-MJ191-C4_04.11'	1	Actinomycetota
'LIB-MJ301-E11_01.4'	1	Actinomycetota
'LIB-MJ341-E5_02_v_LIB-MJ406-B2_04.23'	5	Actinomycetota
'LIB-MJ107-E2_02.13'	1	Actinomycetota
'LIB-MJ337-A10_03.66'	1	Actinomycetota
'LIB-MJ259-A2_04.47'	1	Actinomycetota
'LIB-MJ339-C9_03.51'	1	Actinomycetota
'LIB-MJ338-E1_04.24'	2	Actinomycetota
'LIB-MJ334-A11_01.10'	1	Thermoproteota
'LIB-MJ341-B4_02_v_LIB-MJ367-B4_04.12'	5	Actinomycetota
'LIB-MJ343-H1_01_v_LIB-MJ409-C11_01.5'	2	Actinomycetota
'LIB-MJ337-C4_03.17'	1	Actinomycetota
'LIB-MJ281-C1_01.11'	6	Actinomycetota
'LIB-MJ151-B12_04.2'	1	Actinomycetota
'LIB-MJ200-B11_04.4'	1	Actinomycetota
'LIB-MJ353-B8_03_v_LIB-MJ367-B8_03.7'	1	Actinomycetota
'LIB-MJ226-B4_01.3'	5	Actinomycetota
'LIB-MJ093-A12_02_v_LIB-MJ408-C11_04.5'	1	Actinomycetota
'LIB-MJ354-A1_04_v_LIB-MJ367-A1_04.67'	1	Actinomycetota
'LIB-MJ334-B11_01.22'	1	Thermoproteota
'LIB-MJ133-H8_03.9'	1	Actinomycetota
'LIB-MJ352-E7_03_v_LIB-MJ368-E7_01.239'	1	Actinomycetota
'LIB-MJ093-B9_02.11'	2	Actinomycetota
'LIB-MJ106-H9_01.9'	1	Actinomycetota
